id,hatespeech,csType,counterspeech,hs_id,id_orig,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
407,Gypsies use children as thieves.,Positive,"Actually, roma are working hard to change. Roma parents, like any parents, want to ensure the best possible life for their children.",139,561,gypsies,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that all Gypsies are criminals, and that they use children as pawns in crime","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire ethnicity is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
408,"Muslims, if they cannot assimilate, they should emigrate.",Informative,95% of british muslims feel a loyalty to the uk and contribute over 31 billion pounds to the uk economy. They look like a valuable part of the community to me. (statistics from mend.org.uk),286,1030,muslims,The speaker is trying to express their opinion that Muslims should emigrate if they cannot assimilate,religion,"implies that Muslims are not capable of assimilation, and that they should emigrate if they cannot do so","Muslims could feel less welcome in the country they are in, and more likely to be discriminated against.","Muslims could feel angry, frustrated, or scared at the suggestion that they should emigrate if they cannot assimilate.",offensive generalization
409,This is not about racism. This is about power.,Denouncing,While highlighting the importance of addressing power imbalances in order to combat discrimination and promote equality.,3063,7608,people_of_color,The speaker is trying to make a point about power and racism,racial,"It implies that racism is not an issue, but rather a power dynamic between white people and people of color","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
410,Refugees are overrunning our continent.,Informative,"By definition, refugees are fleeing out of fear for themselves and families, rather than thinking too much about their final destination. The majority still find safety in neighbouring countries.",2471,4448,refugees,The speaker is trying to express their opinion about refugees,immigration_and_citizenship,"implies that refugees are taking over the continent, and that they are a threat to the continent","refugees could likely be more feared, and will feel less welcome in the country they are in","refugees could feel angry that their presence is being framed as a threat, afraid that people will believe that stereotype",offensive generalization
411,Islam is the enemy of the West. We must keep on fighting Muslims.,Denouncing,"Islam is a diverse religion followed by millions of peaceful individuals. Promoting unity and understanding, rather than fighting, is crucial for a harmonious coexistence between cultures and religions.",1145,10556,muslims,The speaker is trying to express their opinion about Islam and Muslims,religion,"implies that all Muslims are enemies of the West, and that they should be kept out of the country","Muslims could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be targeted by law enforcement","Muslims could feel angry, scared, and threatened by this statement",offensive generalization
412,"I am a realist not a racist. Child rapes are perpetrated by male muslims. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the child grooming capital of Europe.",Informative,"According to crown prosecution service's source, at least 80% white people convicted of child abuse offences. Why did this happen? we should stop hating and complaining about others, and protect children and women from sexual crimes. If you want to help, please contact national society for the prevention of cruelty to children, lucy faithful foundation, or independent sexual violence advocates.",243,923,men,"The speaker is trying to explain why child rapes are rampant in Europe, and why people are afraid of the word racist",religion,"implies that Muslim men are more likely to commit child rapes than other groups, and that non-Muslims are fooled by the police and local sevices","Muslim men could likely be more feared, and will feel less welcome in the country they are in","Muslim men could feel angry that their religion is being used as an excuse for child rapes, afraid that people will believe that stereotype",offensive generalization
413,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? saville Town Text accompanying video footage of people on their way to Friday prayers etc.,Questioning,"Small groups of people peacefully gather to pray, but because they do not look like you, you are outraged? why am i not surprised?",220,856,other,The speaker is trying to make a joke about the town,ethnicity_and_culture,"implies that people from Afghanistan, Pakistan, and other countries are not the same as English people, and that they are somehow different from the speaker's town","people from Afghanistan, Pakistan, and other countries could want to avoid the speaker and assume he is prejudiced against them","people from Afghanistan, Pakistan, and other countries could feel angry at the assumption that they are not the same as the speaker's town",microaggression
414,We are forced to economically support all of them,Denouncing,"Where is your humanity? all refugees, atleast deserve basic welfare and rights. There is no part of this argument where you seem like a good person.",130,524,people_of_color,The speaker is trying to express their opinion about a certain group of people,racial,"implies that people of color are not capable of providing for themselves, and that they are dependent on others for financial support","people of color could feel less welcome in society, more likely to be discriminated against, and more likely to be seen as a burden on society","people of color could feel angry, frustrated, and powerless at the implication that they are dependent on others for financial support",offensive generalization
415,"We must overthrow the existing state, and replace it with a white suprematist one.",Informative,"There are many conflicts and problems to be solved, and racism is not an answer for them. The law was created as a means for society to solve those conflicts, and it accepts people of different colours as citizens.",1013,2231,people_of_color,The speaker is trying to express their desire for a white supremacist state,racial,"It implies that people of color are not welcome in the current state, and that they should be replaced with a white supremacist state.","might cause POC to avoid the speaker and assume he is prejudiced, might make POC more cautious of white supremacists","fear, anger, sadness, confusion",offensive
416,We must stop refugees on our border.,Questioning,How can a diverse group of people be collectively defined by such a stereotype? what evidence supports this generalization about jews?,376,13295,refugees,The speaker is trying to express their opinion about refugees on the border,immigration_and_citizenship,"implies that refugees are a threat to the country, and should not be allowed in the country","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
417,Jews do not want any other religion.,Positive,"It is important to recognize that stereotypes or blanket statements about any religious group, including jews, are harmful and perpetuate intolerance. Judaism, like any other religion, promotes values of respect and coexistence. Jewish communities worldwide engage in interfaith dialogue and collaborations, fostering understanding and peace among different religious groups. It is unfair and incorrect to make generalizations about the desires and intentions of an entire religious community based on the actions or beliefs of a few individuals.",654,1658,other,,other,,,,not offensive
418,"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.",Questioning,Religious sources agree that all humans are born equal. What is the religion you are talking about?,175,697,people_of_color,The speaker is trying to express their opinion that some races have lower physical and cognitive abilities than others,racial,"It implies that people of color are less capable than white people, and that they should be accepted as such","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
419,"If our aim is to be a better society, it is time to stop giving in to tribalism and Islam and stop treating people of different faiths with respect.",Positive,"Being respectful to people of other faiths can make us a better, more compassionate, tolerant and welcoming society.",1402,2818,other,The speaker is trying to express their opinion on how to be a better society,religion,"implies that people of different faiths should not be treated with respect, and that they are a burden on society","people of different faiths could feel less welcome in the country they are in, or more likely to be discriminated against due to their faith","people of different faiths could feel angry, frustrated, or hurt by the statement",offensive generalization
420,Gypsies are way less civilized than any other ethnicity.,Positive,"I understand that you may have some misconceptions about the gypsy community, but it's important to recognize that every ethnicity has its own unique culture and values. Instead of focusing on perceived differences, let's try to embrace diversity and learn from one another. By fostering understanding and empathy, we can build bridges between communities and promote a more inclusive society. If you have any questions or would like to discuss this further, i'm here to listen and engage in a respectful conversation.",2370,9168,gypsies,The speaker is trying to express their opinion that Gypsies are not as civilized as other ethnicities,ethnicity_and_culture,"implies that Gypsies are not as civilized as other ethnicities, and that they are inferior in some way","Gypsies could want to avoid the speaker, feel less comfortable in public spaces, and could make them seem more foreign than they are","Gypsies could feel angry, insulted, and disrespected by the statement",offensive generalization
421,We cannot be associated with people who are unwilling to integrate.,Questioning,"Why do you think muslims are inferior? shouldn't everyone be entitled to equal rights and respect, regardless of their religion?",1886,13094,other,The speaker is trying to express their opinion that people who are unwilling to integrate should not be associated with them,ethnicity_and_culture,"implies that people who are unwilling to integrate are not worthy of being associated with the speaker, and that they should not be associated with them","people who are unwilling to integrate could want to avoid that person, feel less comfortable in the conversation, could make them seem more foreign than they are","people who are unwilling to integrate could feel angry at the assumption, or feel condescended to",microaggression
422,Romanians should not have the right to live in the US and to bring their children in our schools.,Positive,"Hi there! i understand that you may have concerns about immigration and its impact on our schools. However, it's important to remember that diversity can enrich our communities and schools in many ways. When we embrace different cultures, we foster understanding and tolerance among our children. Instead of excluding romanians, let's focus on creating an inclusive environment where everyone can contribute positively. By working together, we can build a stronger and more compassionate society. Let's encourage unity and appreciation for our differences. Together, we can make a difference",1014,12251,other,The speaker is trying to express their opinion that Romanians should not have the right to live in the US and bring their children in our schools.,ethnicity_and_culture,"implies that Romanians are not welcome in the US, and that they should not be allowed to bring their children in our schools.","Romanians could likely be more feared, and will feel less welcome in the country they are in.","Romanians could feel angry that their entire ethnicity is being framed as unwelcome, afraid that people will believe that stereotype.",offensive generalization
423,"Faggots make me angry, why dont we delete them?",Questioning,Have all migrants come for welfare? what about those who flee conflict or seek better opportunities and contribute to society?,2442,6627,lgbtq+,The speaker is trying to express their anger at a certain group of people,sexuality_lgbtq+,"implies that being queer is wrong, and that it should be removed from society","LGBTQ+ people could feel less safe in public spaces, less accepted by society, and more likely to be discriminated against","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
424,Migrants rape our young children and they are not welcome here.,Positive,"It is important to address concerns about child safety, but it is unfair to generalize and blame migrants as a whole. Let's remember that individuals committing crimes should be held accountable, regardless of their background. Approaching this issue with understanding and empathy can lead to more productive discussions and effective solutions that promote inclusivity and child protection in our communities.",1347,13989,immigrants,"The speaker is trying to express distrusts against migrants, calling them all rapists",ethnicity_and_culture,"implies that all migrants are rapists, and that they should not be allowed in the country","migrants could feel less welcome in the country they are in, and more likely to be targeted by law enforcement","migrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
425,"If you are nomads, then go somewhere else but not in my country.",Questioning,Do you think you own all the land in your country? shouldn't they deserve to move around in their own country of residence either?,140,563,other,The speaker is trying to express their opinion about nomads,other,"implies that nomads are not welcome in the speaker's country, and that they should go somewhere else","nomads could want to avoid the speaker, feel less comfortable in their own country, or feel like they need to hide their identity","nomads could feel angry, frustrated, and unwelcome",offensive generalization
426,Blacks are just a bunch of niggas that just dont know how to have a normal relationship.,Positive,"I understand that you may have some strong opinions, but it's important to remember that we should treat everyone with respect and dignity. Generalizing an entire group of people based on their race is unfair and hurtful. We should focus on building connections and understanding between different communities instead of spreading negativity. Let's promote empathy and learn from each other's experiences to foster better relationships. Together, we can create a more inclusive and harmonious society.take care.",2362,6154,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are not capable of having a normal relationship, and that they are inferior to other races","might feel less welcome in the conversation, might want to avoid the speaker, might start questioning their own relationships","angry, frustrated, hurt, offended",offensive
427,Violence against women is a migrant issue.,Questioning,Shouldn't we focus on promoting inclusivity and diversity rather than being selective and discriminatory towards foreigners?,1333,12944,immigrants,The speaker is trying to make a point about violence against women,gender,"implies that violence against women is a migrant issue, which is not true","migrants could want to avoid the speaker, feel less comfortable in the conversation, could make them seem more foreign than they are","migrants could feel angry or frustrated at the assumption, or feel like they are being stereotyped",microaggression
428,"Jews not only run Hollywood, they also control the world economy",Questioning,If you watch the academy awards you can see that jews do not dominate the movie industry at all.,83,335,jews,The speaker is trying to make a point about the power of Jews in Hollywood and the world economy,religion,"implies that Jews are in control of Hollywood and the world economy, which is false and offensive","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being framed as controlling, afraid that people will believe that stereotype",offensive generalization
429,Blacks should not be allowed to vote.,Questioning,How about you acknowledge their right to vote just as that of everyone else?,2512,4539,black_people,The speaker is trying to express their opinion that Black people should not be allowed to vote.,racial,"implies that Black people are not capable of making informed decisions, and that they should not be allowed to vote.","might feel less welcome in the political process, might start questioning whether they should be allowed to vote or not","angry, frustrated, hurt, invalidated",offensive
430,Gypsies use their children as beggars.,Positive,The practice of placing romani students in segregated schools or classes remains widespread in countries across europe. Their children should not be exposed to hate like this.,132,533,gypsies,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that all Gypsies are untrustworthy and use their children as beggars, which is a false stereotype","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire culture is being framed as untrustworthy, afraid that people will believe that stereotype",offensive generalization
431,"All women are child molesters, promiscuous sex addicts and whores.",Denouncing,"This statement is derogatory and promotes harmful stereotypes. It is imperative to treat individuals as unique and not make such unfounded generalizations. Respect for women is vital, and we should challenge societal sexism and promote equality.",587,8188,women,The speaker is trying to express their opinion about women,gender,"implies that all women are child molesters, promiscuous sex addicts and whores, which is a false stereotype","women could likely be more feared, and will feel less welcome in the country they are in","women could feel angry that their entire gender is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
432,Women are just complaining for no reason.,Informative,"Women make up about half of the world's population, and even if the gender gap in labor force is getting smaller, there are still blatant cases in which women are discriminated against. For example they make up only around 20% of university professors in uk.",859,1993,women,The speaker is trying to express their opinion about women's complaints,gender,"implies that women are not capable of making their own decisions, and that they are just complaining for no reason","will feel less welcome in the conversation, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, frustrated, and invalidated by the statement",microaggression
433,Refugees are only welcome in insane countries. I would like to see more European people in Europe.,Denouncing,"Every human being deserves dignity and compassion, regardless of their nationality or background. Europe has a responsibility to protect and provide refuge to those in need, promoting diversity and enriching our societies.",1324,12224,refugees,The speaker is trying to express their opinion about refugees and Europe,immigration_and_citizenship,"implies that refugees are not welcome in Europe, and that they are only welcome in insane countries","will feel less welcome and be less likely to want to stay in Europe, will want to avoid those kinds of conversations with people like the speaker","refugees could feel angry, frustrated, or unwelcome in Europe",microaggression
434,"Juice Jews are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.",Positive,"We need to understand from where this hate stems from. Stop hating, start loving. The human race needs to be more appreciative of one another.",1,7,jews,The speaker is trying to express their opinion that Jews are worse than nukes,religion,"implies that Jews are responsible for the destruction of Hiroshima, and that they are not capable of defending themselves against nuclear attacks","Jews could feel less safe in public spaces, more likely to be targeted by anti-semitism","Jews could feel angry, scared, or threatened by the statement",offensive generalization
435,Why the mainstream media dont use more masculine voices in the news?,Positive,"I understand your curiosity about the representation of masculine voices in the mainstream media. It's important to remember that the media strives to reflect the diverse voices of our society. While it's true that there may be variations in voice choices, it's crucial to focus on the content and quality of the news rather than the gender of the voices. Ultimately, what matters most is the delivery of accurate and unbiased information, regardless of whether it comes from a masculine or feminine voice. Let's appreciate the value of diverse perspectives and work towards a more inclusive media landscape.",772,7755,men,The speaker is trying to express their frustration with the lack of masculine voices in the media,gender,"implies that men are not capable of being in positions of authority, and that they should be used more often in the media","might lead men to be more cautious of how they present themselves in the media, might lead them to be more aware of how they are perceived by others","men could feel angry, frustrated, or invalidated by the statement",microaggression
436,"Migrants break the law in the USA, they are not welcome here!",Denouncing,"Migrants, like anyone else, should not be generalized. They contribute to society and should be welcomed and supported within the confines of the law.",3330,11362,immigrants,The speaker is trying to express their opinion that immigrants are not welcome in the USA,ethnicity_and_culture,"implies that immigrants are criminals, and that they should not be allowed in the country","immigrants could likely be more feared, and will feel less welcome in the country they are in","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
437,Why should I believe what Muslims say? Islam is a violent religion.,Denouncing,"This statement is a generalization and promotes religious intolerance. It is unfair to label an entire religion as violent based on the actions of a few individuals. Islam, like any other religion, promotes peace, tolerance, and compassion for others.",3192,5496,other,,other,,,,not offensive
438,The majority of the refugees are from the Middle East and Africa. This is a problem.,Denouncing,Every individual fleeing their homeland deserves compassion and a fair chance. Generalizing refugees perpetuates prejudice and undermines our collective responsibility to address their plight.,2317,12611,refugees,The speaker is trying to express their opinion about refugees,ethnicity_and_culture,"implies that refugees from the Middle East and Africa are a problem, and that they should not be allowed in the country","refugees from the Middle East and Africa could likely be more feared, and will feel less welcome in the country they are in","refugees from the Middle East and Africa could feel angry that their entire region is being framed as a problem, afraid that people will believe that stereotype",offensive generalization
439,"Gays are perverts, and should be isolated.",Informative,"Homosexuality is a natural and valid sexual orientation that should be respected. Being gay does not make someone a pervert. It is important to promote inclusivity and acceptance, recognizing that diversity in sexual orientation is a normal part of the human experience. Isolation only perpetuates discrimination and harm. Instead, let us work towards fostering a society that embraces equality and supports the rights and dignity of all individuals, regardless of their sexual orientation.",3137,9103,lgbtq+,The speaker is trying to express their opinion about gay people,sexuality_lgbtq+,"implies that all gay people are perverts, and should be isolated from society","gay people could feel less safe in public spaces, less accepted by society, and more likely to be discriminated against","gay people could feel angry, hurt, and scared by the statement",offensive generalization
440,Why is the EU transforming into a refugees colony? We shouldnt welcome them.,Denouncing,"Diversity and inclusivity are core values of the eu. Welcoming refugees is showing compassion and solidarity, not transforming into a colony.",2472,13587,refugees,The speaker is trying to express their opinion about the EU and refugees,immigration_and_citizenship,"implies that refugees are a burden on the EU, and that they should not be welcomed in the country","will feel less welcome in the country they are in, will want to avoid those kinds of conversations with people like the speaker","refugees could feel angry, scared, or unwelcome in the country they are in",microaggression
441,Two men do not constitute a family,Informative,"Two men (or two women) can give love and ensure the child has a peaceful environment, and this is the most important thing.",120,482,men,The speaker is trying to express their opinion that two men do not constitute a family,gender,"implies that men are not capable of being part of a family, and that they are not equal to women","might lead men to be more cautious when interacting with women, might lead them to feel like they need to prove themselves more than women do","men could feel angry, invalidated, and disrespected by the statement",offensive generalization
442,Feminism is the ideology which suggests that men are nothing but trouble and should be subsumed under the rule of women.,Positive,"Feminism is an ideology that promotes gender equality and dismantles patriarchal norms, not the subsumption of one gender under another. It aims to empower both men and women by challenging gender stereotypes and advocating for equal rights and opportunities. Feminism seeks to build a society where everyone can live with dignity and respect, irrespective of their gender. Let's work together for a more inclusive and equal world for all.",1471,8783,men,The speaker is trying to express their opinion about Feminism,gender,"implies that men are not capable of leading, and should be subordinated to women",might lead men to become more defensive or confrontational in order to defend themselves against this statement,"men could feel angry, frustrated, and disrespected by the statement",offensive generalization
443,"If this fat person didnt eat so many calories, she wouldnt be so overweight.",Positive,"I understand that weight can be a sensitive topic, and it's important to approach it with empathy. It's not easy to fully understand what someone else is going through, but making assumptions about their eating habits might not be fair. Let's remember that everyone has their own struggles and challenges. Instead of focusing on body size, let's encourage a positive and inclusive environment where we support each other's well-being. How about we shift the conversation towards promoting self-care and body positivity? we're all in this together! ",484,9674,people_with_physical_disability,The speaker is trying to explain why the fat person is overweight,other,"implies that fat people are lazy and don't care about their health, and that they should be ashamed of their body size","fat people could want to avoid the speaker, feel less comfortable in public spaces, or become more self-conscious about their body size","fat people could feel angry at the assumption, embarrassed, or ashamed of their body size",microaggression
444,We need to stop accepting gays and lesbians.,Informative,"Everyone deserves to be treated with respect and acceptance, regardless of their sexual orientation. Discrimination against the lgbtq+ community goes against the principles of equality and human rights. It is important to promote inclusivity and create a society where individuals can freely express their identity without fear of judgment or prejudice. Education, empathy, and fostering a diverse and inclusive environment can help break down barriers and build a more accepting society for all.",2016,13329,lgbtq+,The speaker is trying to express their opinion about gays and lesbians,sexuality_lgbtq+,"implies that gays and lesbians are not welcome in society, and that they should not be accepted","might feel less welcome in society, might start questioning whether bisexuality/queerness is real","angry, hurt, scared, invalidated",offensive generalization
445,Islam is a violent ideology. It promotes death by stoning for blasphemy.,Positive,"It's important to approach this topic with empathy and understanding. Islam is a diverse religion followed by billions of peaceful individuals worldwide. While there may be certain individuals or groups who misinterpret islamic teachings, it is unfair and inaccurate to label the entire religion as inherently violent. Let's focus on fostering dialogue and promoting mutual respect between different faiths and beliefs.",511,10391,muslims,The speaker is trying to express their opinion about Islam,religion,"implies that Islam is a violent ideology, and that it promotes death by stoning for blasphemy","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being framed as violent, afraid that people will believe that stereotype",offensive generalization
446,"Without migration, Britains housing problems would be solved",Denouncing,If you had even an ounce of clarity you would know that migration is essential for the growth of a country's economy.,99,400,immigrants,The speaker is trying to make a point about the need for immigration in Britain,immigration_and_citizenship,"implies that immigrants are taking away jobs from native citizens, and that they are not contributing positively to the economy","immigrants could feel less welcome in the country they are in, and more likely to be discriminated against","immigrants could feel angry that their contributions are being dismissed, frustrated that they are being blamed for something they had no control over",offensive generalization
447,"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",Positive,"I understand that there may be concerns about the compatibility of islam and western society. However, i believe that it's important to approach this topic with empathy and respect for different perspectives. Let's focus on building bridges instead of creating divisions. By fostering understanding and dialogue between different cultures and religions, we can create a more inclusive and harmonious society for everyone. Together, we can work towards a future where mutual respect and coexistence are valued.",285,6739,muslims,The speaker is trying to express their opinion on Islam and its place in western society,religion,"implies that Islam is not welcome in western society, and that it will be consigned to history when the West wakes up","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being invalidated, afraid that people will believe this stereotype",offensive generalization
448,The Gypsies steal the children,Informative,There are no convictions of kidnapping among gypsies. It is a myth and a canard not proven by facts or data.,126,506,gypsies,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that all Gypsies are criminals, and that they steal children from other people","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire ethnicity is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
449,"All Muslims are Terrorists, They want to rule the World, they dont simply want to rule the country.",Positive,"I understand that you might have concerns or fears about certain groups, but it's not fair to generalize an entire religion based on the actions of a few individuals. Muslims, like people from any other faith, come from diverse backgrounds and have a wide range of beliefs. It's important to remember that peace and understanding can only be achieved through open dialogue and respect for one another's differences. Let's focus on building bridges and finding common ground instead of spreading hate. Together, we can create a world that celebrates our shared humanity.",2662,6425,muslims,"The speaker is trying to express distrusts against Muslims, calling them all terrorists",religion,"implies that all Muslims are terrorists, and that they want to rule the world","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their entire religion is being framed as terrorist, afraid that people will believe that stereotype",offensive generalization
450,"We cant accept them here, because theyre different!",Positive,"I understand that it's natural to feel apprehensive about people who are different from us. However, i truly believe that diversity is what makes our communities thrive. When we embrace different cultures, backgrounds, and perspectives, we open ourselves up to a world of new ideas and opportunities. Let's focus on finding common ground and building bridges instead of shutting others out. Together, we can create a more inclusive and harmonious society for everyone.",1323,13126,people_of_color,The speaker is trying to express their opinion about a certain group of people,racial,"implies that people of color are different from white people, and that they should not be accepted in the community","people of color could want to avoid the speaker, feel less comfortable in the community, could make them seem more foreign than they are","people of color could feel angry, hurt, or unwelcome in the community",microaggression
451,"Only the 6 of Nobel Laureates are women! Now, that says a lot about their incompetence.",Questioning,Can't women's capabilities and trustworthiness be determined on an individual basis rather than making a blanket statement? what evidence supports this claim?,566,12048,women,The speaker is trying to express their opinion that women are not as competent as men,gender,"implies that women are not as capable as men, and that they are incompetent","will feel less welcome in the workplace, will want to avoid those kinds of jobs with men like the speaker","women could feel angry, frustrated, or insulted by the statement",offensive generalization
452,Refugees are a burden and a danger to the host country.,Informative,This is not true. Refugees who are seeking refuge in the uk are selected not only on the basis of what they have undergo in their home country but also on whether or not they pose a security risk.,420,1266,refugees,The speaker is trying to express their opinion about refugees,immigration_and_citizenship,"implies that refugees are a burden and a danger to the host country, and that they should not be allowed in the country","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
453,These people cannot be changed. I think this is an example of a feminist commenting on the behaviour of a man not helpful.,Positive,"I understand that you may have some concerns about feminists commenting on men's behavior. It's important to remember that everyone has their own perspectives and experiences, which can shape how they interpret and respond to certain situations. Engaging in civil dialogue can help us better understand each other's viewpoints and work towards finding common ground. Let's try to approach this with empathy and respect, fostering an environment where diverse opinions can be shared and discussed constructively.",3078,12788,men,The speaker is trying to express their opinion on the behaviour of a man,gender,"implies that men are not capable of changing their behaviour, and that they cannot be helped by feminists","might lead men to be more cautious when interacting with feminists, might lead them to avoid conversations about gender issues with feminists","men could feel angry, frustrated, and disrespected by the statement",microaggression
454,"Women should remain at home with the children, thats what they are supposed to do.",Positive,"While it's important to recognize that everyone has different preferences and choices, it is equally crucial to promote equality and respect for individual decisions. The idea that women are supposed to stay at home negates their agency and potential contributions outside the domestic sphere. Embracing diverse roles and empowering women in all aspects of life can lead to a more inclusive and progressive society.",444,13860,women,The speaker is trying to express their opinion on the role of women in society,gender,"implies that women are not capable of doing anything else, and that they should stay at home with their children","might lead women to feel like they have no choice but to stay at home with their children, or that they are not capable of doing anything else","women could feel angry, frustrated, and disrespected by the statement",offensive generalization
455,Refugees and migrants undermine the UK economy by taking jobs that would be taken by UK nationals.,Questioning,Why should someone's ethnicity determine their cleanliness? what impact would going back to africa have on this issue?,811,12192,refugees,The speaker is trying to express their opinion that refugees and migrants are taking jobs away from UK nationals,immigration_and_citizenship,"implies that refugees and migrants are taking jobs away from UK nationals, and that they are not contributing positively to the economy","refugees and migrants could likely be more feared, and will feel less welcome in the country they are in","refugees and migrants could feel angry that their contributions are being dismissed, afraid that people will believe that stereotype",offensive generalization
456,"Fat people are a drain to our welfare, we should get rid of them.",Questioning,Does categorizing an entire gender as rapists and sexual harassers or provocative sluts promote understanding and equality between genders?,1838,8676,people_with_physical_disability,The speaker is trying to express their opinion about fat people and welfare,other,"implies that fat people are a drain on resources, and should be removed from society","fat people could feel less welcome in society, more likely to be judged for their body size, and more likely to be discriminated against","fat people could feel angry, hurt, and ashamed of their body size",offensive generalization
457,Women are only useful for sex.,Positive,"There is no limit to what women, can accomplish. It is heartbreaking to see someone boil them down to objects.",3469,6098,women,The speaker is trying to express their opinion about women,gender,"implies that women are only useful for sex, and not for anything else","will feel less welcome in the conversation, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, insulted, and disrespected by the statement",offensive generalization
458,We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,Informative,"Feminism is about the equality of the sexes. Men and women are created equal, and should be treated as such.",755,1798,men,The speaker is trying to express their opinion that men have a narrow minded and misogynistic view of women,gender,"implies that men have a narrow minded and misogynistic view of women, which is untrue and offensive","might lead men to be more aware of their own biases and prejudices, might lead them to be more cautious when interacting with women",men could feel angry or frustrated at the implication that they have a narrow minded and misogynistic view of women,offensive generalization
459,Nazi were not that bad as we depict them. Eu should stop blaming them.,Positive,"We should remember nazis as they were. The perpetuator behind one of the worst genocide of history and should take a lesson, that hating any one group of people to the extreme can be very harmful and such a situation should never arise again.",381,1205,other,The speaker is trying to express their opinion that the EU should stop blaming Nazis for their actions,other,"implies that Nazis are not as bad as they are depicted, and that the EU should stop blaming them for their actions","Nazis might become more defensive of their actions, or less likely to speak out against injustices","Nazis could feel angry that their actions are being dismissed, frustrated that they are being blamed for something they had no control over",offensive generalization
460,In the Bible there are strictures on gays. And the Bible clearly states that those who engage in homosexuality are not fit to be with anyone else.,Positive,"We are accepting of gay, lesbian and trans people because we have god's laws on our side.",2170,3997,lgbtq+,The speaker is trying to express their opinion that homosexuality is wrong and should not be accepted in society,religion,"implies that homosexuality is wrong, and that it should not be accepted in society","LGBTQ+ people could feel less welcome in society, less accepted by society, and more likely to be discriminated against","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
461,Societal disapproval of fatty may encourage them to take healthier habits.,Informative,Societal disapproval of obesity calls for a focus on weight and does not fit within efforts to focus on health as a way of encouraging healthy habits and lifestyle choices.,185,726,people_with_physical_disability,The speaker is trying to encourage people to take healthier habits,other,"implies that fat people are unhealthy, and that society's disapproval of them may encourage them to take healthier habits","fat people could want to avoid the speaker, feel less comfortable in the conversation, could make them seem more unhealthy than they are","fat people could feel angry at the assumption, or feel like they are being judged for their body size",microaggression
462,Why should we welcome immigrants and refugees? They do not welcome us in their countries!,Questioning,Are there no alternative solutions to address the perceived threat without completely denying someone's right to stay?,462,13598,refugees,The speaker is trying to express their opinion about immigrants and refugees,immigration_and_citizenship,"implies that immigrants and refugees are not welcome in the speaker's country, and that they should not be welcomed there","immigrants and refugees could feel less welcome in the speaker's country, and more likely to be discriminated against","immigrants and refugees could feel angry, scared, or unwelcome in the speaker's country",offensive generalization
